"Start Date","End Date",Currency,"Vendor Id","Vendor Name","Account Id","Affiliate Profile Id","Affiliate Profile Username","Affiliate Profile Site Id","Affiliate Profile Site Name",Clicks,Registrations,"Registration Ratio","FTD Count","Active Accounts","New Account Deposits","Depositing Accounts","Wagering Accounts",Net/Player,Deposits,Stakes,Chargebacks,"Net Revenue","RevShare Commission","CPA Commission","Total Commission","CPA Count"
2023-05-22,2023-05-22,EUR,5,"Novibet Brazil",741,2000460,vpm,N/A,N/A,1,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-22,2023-05-22,EUR,5,"Novibet Brazil",741,2000460,vpm,1002210,Perfil_NoviBonusCassino_970x250-png,1,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-22,2023-05-22,EUR,5,"Novibet Brazil",741,2000460,vpm,1002228,Iceman,4,0,0,0,2,0.00,0,2,-4.35,0.00,22.72,0.00,-8.70,-3.04,0.00,-3.04,0
2023-05-22,2023-05-22,EUR,5,"Novibet Brazil",741,2000460,vpm,1002231,"JR Tips",75,14,18.67,7,24,51.80,7,23,-3.36,61.05,398.64,0.00,-80.54,-28.17,0.00,-28.17,0
2023-05-22,2023-05-22,EUR,5,"Novibet Brazil",741,2000460,vpm,1002305,"Aposta Mestre (Gabriel)",1,1,100,1,38,92.50,3,38,5.21,99.90,708.80,0.00,198.14,69.36,120.00,189.36,2
2023-05-22,2023-05-22,EUR,5,"Novibet Brazil",741,2000460,vpm,1002318,"João Coimbra",0,0,0,0,2,0.00,0,2,2.09,0.00,5.72,0.00,4.18,1.46,0.00,1.46,0
2023-05-22,2023-05-22,EUR,5,"Novibet Brazil",741,2000460,vpm,1002384,"P7 Bet",0,0,0,0,1,0.00,0,1,554.98,0.00,554.98,0.00,554.98,194.24,0.00,194.24,0
