"Start Date","End Date",Currency,"Vendor Id","Vendor Name","Account Id","Affiliate Profile Id","Affiliate Profile Username","Affiliate Profile Site Id","Affiliate Profile Site Name",Clicks,Registrations,"Registration Ratio","FTD Count","Active Accounts","New Account Deposits","Depositing Accounts","Wagering Accounts",Net/Player,Deposits,Stakes,Chargebacks,"Net Revenue","RevShare Commission","CPA Commission","Total Commission","CPA Count"
2023-05-23,2023-05-23,EUR,5,"Novibet Brazil",741,2000460,vpm,1002225,"Apostas DNB",1,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2023-05-23,2023-05-23,EUR,5,"Novibet Brazil",741,2000460,vpm,1002228,Iceman,2,1,50,0,2,0.00,1,2,3.61,37.28,55.92,0.00,7.22,2.53,0.00,2.53,0
2023-05-23,2023-05-23,EUR,5,"Novibet Brazil",741,2000460,vpm,1002231,"JR Tips",78,17,21.79,7,27,87.62,12,27,4.29,139.82,1083.60,0.00,115.89,40.57,240.00,280.57,4
2023-05-23,2023-05-23,EUR,5,"Novibet Brazil",741,2000460,vpm,1002305,"Aposta Mestre (Gabriel)",3,0,0,0,37,0.00,0,37,-2.22,0.00,730.38,0.00,-82.31,-28.84,120.00,91.16,2
2023-05-23,2023-05-23,EUR,5,"Novibet Brazil",741,2000460,vpm,1002318,"João Coimbra",0,0,0,0,3,0.00,0,3,3.54,0.00,10.62,0.00,10.62,3.73,0.00,3.73,0
2023-05-23,2023-05-23,EUR,5,"Novibet Brazil",741,2000460,vpm,1002417,"Brasileirao Serie A",1,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
